,Vehicle Class,Engine Size,Cylinders,Transmission,Fuel Type,Fuel Consumption,CO2 Rating,Transmission_X,Vehicle Class_X,D,E,X,Z
706,Mid-size,2.0,4,AS,Z,8.9,6.0,3.0,4.0,0,0,0,1
707,Minicompact,2.0,4,AM,Z,7.8,6.0,1.0,1.0,0,0,0,1
708,Minicompact,2.0,4,M,Z,8.8,6.0,2.0,1.0,0,0,0,1
709,Mid-size,2.0,4,AS,Z,9.1,5.0,3.0,4.0,0,0,0,1
710,Subcompact,2.0,4,AS,Z,8.2,6.0,3.0,3.0,0,0,0,1
711,Subcompact,2.0,4,M,Z,9.1,5.0,2.0,3.0,0,0,0,1
712,Mid-size,2.0,4,AS,Z,9.0,5.0,3.0,4.0,0,0,0,1
713,Minicompact,2.0,4,AS,Z,8.5,6.0,3.0,1.0,0,0,0,1
714,Mid-size,2.0,4,AS,Z,9.2,5.0,3.0,4.0,0,0,0,1
715,SUV: Small,1.5,4,AV,X,9.3,5.0,0.0,6.0,0,0,1,0
716,Compact,1.2,3,AV,X,6.2,8.0,0.0,2.0,0,0,1,0
717,Compact,1.2,3,M,X,6.5,8.0,2.0,2.0,0,0,1,0
718,SUV: Small,2.5,4,AV,X,8.9,6.0,0.0,6.0,0,0,1,0
719,SUV: Small,2.0,4,AV,X,8.8,6.0,0.0,6.0,0,0,1,0
720,SUV: Small,2.0,4,AV,X,9.2,5.0,0.0,6.0,0,0,1,0
721,SUV: Small,2.4,4,AV,X,9.4,5.0,0.0,6.0,0,0,1,0
722,Mid-size,2.5,4,AV,X,7.9,6.0,0.0,4.0,0,0,1,0
723,Mid-size,2.5,4,AV,X,8.1,6.0,0.0,4.0,0,0,1,0
724,SUV: Standard,5.6,8,AS,Z,15.4,2.0,3.0,7.0,0,0,0,1
725,Pickup truck: Standard,3.8,6,AS,X,11.3,4.0,3.0,13.0,0,0,1,0
726,Pickup truck: Standard,3.8,6,AS,X,12.3,4.0,3.0,13.0,0,0,1,0
727,Mid-size,1.6,4,AV,X,7.2,7.0,0.0,4.0,0,0,1,0
728,Mid-size,3.5,6,AV,Z,9.9,5.0,0.0,4.0,0,0,0,1
729,Station wagon: Mid-size,3.5,6,AV,X,10.4,5.0,0.0,10.0,0,0,1,0
730,SUV: Small,3.5,6,AS,X,10.5,5.0,3.0,6.0,0,0,1,0
731,Station wagon: Small,2.0,4,AV,X,8.0,6.0,0.0,9.0,0,0,1,0
732,Station wagon: Small,2.0,4,M,X,9.1,5.0,2.0,9.0,0,0,1,0
733,Station wagon: Small,2.0,4,AV,X,8.3,6.0,0.0,9.0,0,0,1,0
734,SUV: Small,1.5,3,AV,X,7.2,7.0,0.0,6.0,0,0,1,0
735,SUV: Small,2.5,4,AV,X,8.1,6.0,0.0,6.0,0,0,1,0
736,SUV: Small,1.5,3,AV,X,7.6,7.0,0.0,6.0,0,0,1,0
737,SUV: Small,1.5,3,AV,X,7.7,6.0,0.0,6.0,0,0,1,0
738,SUV: Small,2.5,4,AV,X,8.3,6.0,0.0,6.0,0,0,1,0
739,Mid-size,2.0,4,AV,X,7.1,7.0,0.0,4.0,0,0,1,0
740,Mid-size,2.0,4,AV,X,7.3,7.0,0.0,4.0,0,0,1,0
741,Mid-size,2.0,4,M,X,7.9,6.0,2.0,4.0,0,0,1,0
742,Mid-size,2.0,4,M,X,8.1,6.0,2.0,4.0,0,0,1,0
743,Compact,1.6,4,AV,X,6.7,7.0,0.0,2.0,0,0,1,0
744,Compact,1.6,4,M,X,7.7,7.0,2.0,2.0,0,0,1,0
745,Two-seater,2.0,4,AM,Z,10.0,5.0,1.0,0.0,0,0,0,1
746,Two-seater,2.0,4,M,Z,10.5,5.0,2.0,0.0,0,0,0,1
747,Two-seater,2.0,4,AM,Z,10.1,5.0,1.0,0.0,0,0,0,1
748,Two-seater,2.0,4,M,Z,10.5,5.0,2.0,0.0,0,0,0,1
749,Two-seater,2.5,4,AM,Z,10.9,5.0,1.0,0.0,0,0,0,1
750,Two-seater,2.5,4,M,Z,11.2,4.0,2.0,0.0,0,0,0,1
751,Two-seater,4.0,6,AM,Z,11.1,4.0,1.0,0.0,0,0,0,1
752,Two-seater,4.0,6,M,Z,12.2,4.0,2.0,0.0,0,0,0,1
753,Two-seater,2.0,4,AM,Z,10.0,5.0,1.0,0.0,0,0,0,1
754,Two-seater,2.0,4,M,Z,10.5,5.0,2.0,0.0,0,0,0,1
755,Two-seater,2.0,4,AM,Z,10.1,5.0,1.0,0.0,0,0,0,1
756,Two-seater,2.0,4,M,Z,10.5,5.0,2.0,0.0,0,0,0,1
757,Two-seater,2.5,4,AM,Z,10.9,5.0,1.0,0.0,0,0,0,1
758,Two-seater,2.5,4,M,Z,11.2,4.0,2.0,0.0,0,0,0,1
759,Two-seater,4.0,6,AM,Z,11.6,4.0,1.0,0.0,0,0,0,1
760,Two-seater,4.0,6,M,Z,12.2,4.0,2.0,0.0,0,0,0,1
761,Two-seater,4.0,6,AM,Z,11.1,4.0,1.0,0.0,0,0,0,1
762,Two-seater,4.0,6,M,Z,12.2,4.0,2.0,0.0,0,0,0,1
763,Two-seater,4.0,6,AM,Z,11.6,4.0,1.0,0.0,0,0,0,1
764,Two-seater,4.0,6,M,Z,12.2,4.0,2.0,0.0,0,0,0,1
765,Minicompact,3.0,6,AM,Z,11.6,4.0,1.0,1.0,0,0,0,1
766,Minicompact,3.0,6,AM,Z,11.6,4.0,1.0,1.0,0,0,0,1
767,Minicompact,3.0,6,AM,Z,11.6,4.0,1.0,1.0,0,0,0,1
768,Minicompact,3.0,6,AM,Z,11.6,4.0,1.0,1.0,0,0,0,1
769,Minicompact,3.0,6,AM,Z,11.7,4.0,1.0,1.0,0,0,0,1
770,Minicompact,3.0,6,M,Z,11.3,4.0,2.0,1.0,0,0,0,1
771,Minicompact,3.0,6,AM,Z,11.7,4.0,1.0,1.0,0,0,0,1
772,Minicompact,3.0,6,M,Z,11.8,4.0,2.0,1.0,0,0,0,1
773,Minicompact,3.0,6,AM,Z,11.8,4.0,1.0,1.0,0,0,0,1
774,Minicompact,3.0,6,M,Z,11.8,4.0,2.0,1.0,0,0,0,1
775,Minicompact,3.0,6,AM,Z,11.7,4.0,1.0,1.0,0,0,0,1
776,Minicompact,3.0,6,M,Z,12.0,4.0,2.0,1.0,0,0,0,1
777,Minicompact,3.0,6,AM,Z,12.1,4.0,1.0,1.0,0,0,0,1
778,Minicompact,3.0,6,M,Z,11.9,4.0,2.0,1.0,0,0,0,1
779,Minicompact,3.0,6,AM,Z,12.2,4.0,1.0,1.0,0,0,0,1
780,Minicompact,3.0,6,M,Z,11.9,4.0,2.0,1.0,0,0,0,1
781,Minicompact,3.0,6,AM,Z,12.1,4.0,1.0,1.0,0,0,0,1
782,Minicompact,3.0,6,M,Z,12.2,4.0,2.0,1.0,0,0,0,1
783,Minicompact,3.0,6,AM,Z,12.3,4.0,1.0,1.0,0,0,0,1
784,Minicompact,3.0,6,M,Z,12.7,4.0,2.0,1.0,0,0,0,1
785,Minicompact,4.0,6,AM,Z,14.3,3.0,1.0,1.0,0,0,0,1
786,Minicompact,4.0,6,M,Z,15.2,3.0,2.0,1.0,0,0,0,1
787,Minicompact,4.0,6,AM,Z,14.4,3.0,1.0,1.0,0,0,0,1
788,Minicompact,4.0,6,M,Z,15.2,3.0,2.0,1.0,0,0,0,1
789,Minicompact,3.0,6,AM,Z,11.6,4.0,1.0,1.0,0,0,0,1
790,Minicompact,3.0,6,AM,Z,11.8,4.0,1.0,1.0,0,0,0,1
791,Minicompact,3.0,6,M,Z,11.9,4.0,2.0,1.0,0,0,0,1
792,Minicompact,3.0,6,AM,Z,12.3,4.0,1.0,1.0,0,0,0,1
793,Minicompact,3.0,6,M,Z,12.7,4.0,2.0,1.0,0,0,0,1
794,Minicompact,3.7,6,AM,Z,13.7,3.0,1.0,1.0,0,0,0,1
795,Minicompact,3.7,6,AM,Z,13.9,3.0,1.0,1.0,0,0,0,1
796,Minicompact,3.7,6,AM,Z,13.7,3.0,1.0,1.0,0,0,0,1
797,Minicompact,3.7,6,AM,Z,14.1,3.0,1.0,1.0,0,0,0,1
798,SUV: Standard,3.0,6,AS,Z,12.4,4.0,3.0,7.0,0,0,0,1
799,SUV: Standard,3.0,6,AS,Z,12.4,4.0,3.0,7.0,0,0,0,1
800,SUV: Standard,2.9,6,AS,Z,12.9,4.0,3.0,7.0,0,0,0,1
801,SUV: Standard,2.9,6,AS,Z,13.0,3.0,3.0,7.0,0,0,0,1
802,SUV: Standard,4.0,8,AS,Z,14.2,3.0,3.0,7.0,0,0,0,1
803,SUV: Standard,4.0,8,AS,Z,14.0,3.0,3.0,7.0,0,0,0,1
804,SUV: Standard,4.0,8,AS,Z,14.8,3.0,3.0,7.0,0,0,0,1
805,SUV: Standard,4.0,8,AS,Z,14.1,3.0,3.0,7.0,0,0,0,1
806,SUV: Standard,4.0,8,AS,Z,14.8,3.0,3.0,7.0,0,0,0,1
807,SUV: Small,2.0,4,AM,Z,11.0,4.0,1.0,6.0,0,0,0,1
808,SUV: Small,2.9,6,AM,Z,12.2,4.0,1.0,6.0,0,0,0,1
809,SUV: Small,2.9,6,AM,Z,12.2,4.0,1.0,6.0,0,0,0,1
810,Full-size,2.9,6,AM,Z,11.6,4.0,1.0,5.0,0,0,0,1
811,Full-size,2.9,6,AM,Z,11.5,4.0,1.0,5.0,0,0,0,1
812,Full-size,2.9,6,AM,Z,12.2,4.0,1.0,5.0,0,0,0,1
813,Full-size,2.9,6,AM,Z,11.7,4.0,1.0,5.0,0,0,0,1
814,Full-size,2.9,6,AM,Z,11.4,4.0,1.0,5.0,0,0,0,1
815,Full-size,2.9,6,AM,Z,12.2,4.0,1.0,5.0,0,0,0,1
816,Full-size,2.9,6,AM,Z,12.2,4.0,1.0,5.0,0,0,0,1
817,Full-size,4.0,8,AM,Z,13.7,3.0,1.0,5.0,0,0,0,1
818,Full-size,4.0,8,AM,Z,13.9,3.0,1.0,5.0,0,0,0,1
819,Full-size,4.0,8,AM,Z,13.5,3.0,1.0,5.0,0,0,0,1
820,Full-size,4.0,8,AM,Z,13.5,3.0,1.0,5.0,0,0,0,1
821,Full-size,4.0,8,AM,Z,13.5,3.0,1.0,5.0,0,0,0,1
822,Pickup truck: Standard,3.0,6,A,D,9.0,5.0,4.0,13.0,1,0,0,0
823,Pickup truck: Standard,3.0,6,A,D,8.9,5.0,4.0,13.0,1,0,0,0
824,Pickup truck: Standard,3.6,6,A,X,10.8,5.0,4.0,13.0,0,0,1,0
825,Pickup truck: Standard,3.6,6,A,X,10.4,5.0,4.0,13.0,0,0,1,0
826,Pickup truck: Standard,5.7,8,A,X,13.6,3.0,4.0,13.0,0,0,1,0
827,Pickup truck: Standard,5.7,8,A,X,11.7,4.0,4.0,13.0,0,0,1,0
828,Pickup truck: Standard,3.0,6,A,D,9.7,4.0,4.0,13.0,1,0,0,0
829,Pickup truck: Standard,3.6,6,A,X,11.1,4.0,4.0,13.0,0,0,1,0
830,Pickup truck: Standard,5.7,8,A,X,13.8,3.0,4.0,13.0,0,0,1,0
831,Pickup truck: Standard,5.7,8,A,X,12.1,4.0,4.0,13.0,0,0,1,0
832,Pickup truck: Standard,6.2,8,A,Z,19.8,1.0,4.0,13.0,0,0,0,1
833,Pickup truck: Standard,3.6,6,A,X,11.9,4.0,4.0,13.0,0,0,1,0
834,Pickup truck: Standard,5.7,8,A,X,13.7,3.0,4.0,13.0,0,0,1,0
835,Pickup truck: Standard,3.6,6,A,X,12.6,4.0,4.0,13.0,0,0,1,0
836,Pickup truck: Standard,5.7,8,A,X,14.1,3.0,4.0,13.0,0,0,1,0
837,Special purpose vehicle,2.4,4,A,X,9.9,5.0,4.0,12.0,0,0,1,0
838,Station wagon: Mid-size,6.7,12,AS,Z,16.5,2.0,3.0,10.0,0,0,0,1
839,Station wagon: Mid-size,6.7,12,AS,Z,16.5,2.0,3.0,10.0,0,0,0,1
840,Full-size,6.7,12,AS,Z,16.7,2.0,3.0,5.0,0,0,0,1
841,Full-size,6.7,12,AS,Z,16.7,2.0,3.0,5.0,0,0,0,1
842,Full-size,6.7,12,AS,Z,16.7,2.0,3.0,5.0,0,0,0,1
843,Full-size,6.7,12,AS,Z,16.3,2.0,3.0,5.0,0,0,0,1
844,Full-size,6.7,12,AS,Z,16.3,2.0,3.0,5.0,0,0,0,1
845,SUV: Standard,2.4,4,AV,X,10.5,5.0,0.0,7.0,0,0,1,0
846,Minicompact,2.4,4,AS,Z,9.5,5.0,3.0,1.0,0,0,0,1
847,Minicompact,2.4,4,M,Z,10.5,5.0,2.0,1.0,0,0,0,1
848,SUV: Small,2.0,4,AV,X,7.9,6.0,0.0,6.0,0,0,1,0
849,SUV: Small,2.0,4,M,X,9.4,5.0,2.0,6.0,0,0,1,0
850,SUV: Small,2.5,4,AV,X,8.0,6.0,0.0,6.0,0,0,1,0
851,SUV: Small,2.5,4,AV,X,8.2,6.0,0.0,6.0,0,0,1,0
852,SUV: Small,2.5,4,AV,X,9.0,5.0,0.0,6.0,0,0,1,0
853,Mid-size,2.0,4,AV,X,7.4,7.0,0.0,4.0,0,0,1,0
854,Mid-size,2.0,4,M,X,9.0,5.0,2.0,4.0,0,0,1,0
855,Station wagon: Small,2.0,4,AV,X,7.6,7.0,0.0,9.0,0,0,1,0
856,Station wagon: Small,2.0,4,M,X,9.0,5.0,2.0,9.0,0,0,1,0
857,Full-size,2.4,4,AV,X,8.7,6.0,0.0,5.0,0,0,1,0
858,Full-size,2.5,4,AV,X,7.8,6.0,0.0,5.0,0,0,1,0
859,SUV: Small,2.4,4,AV,X,9.1,5.0,0.0,6.0,0,0,1,0
860,SUV: Small,2.5,4,AV,X,8.2,6.0,0.0,6.0,0,0,1,0
861,SUV: Small,2.4,4,AV,X,10.0,5.0,0.0,6.0,0,0,1,0
862,Mid-size,2.4,4,AV,Z,11.2,4.0,0.0,4.0,0,0,0,1
863,Mid-size,2.4,4,M,Z,10.8,5.0,2.0,4.0,0,0,0,1
864,SUV: Standard,4.0,6,AS,X,13.8,3.0,3.0,7.0,0,0,1,0
865,SUV: Standard,4.0,6,AS,X,13.8,3.0,3.0,7.0,0,0,1,0
866,Compact,2.0,4,AS,X,8.2,6.0,3.0,2.0,0,0,1,0
867,Mid-size,2.5,4,AS,X,7.4,7.0,3.0,4.0,0,0,1,0
868,Mid-size,2.5,4,AS,X,7.6,7.0,3.0,4.0,0,0,1,0
869,Mid-size,3.5,6,AS,X,9.2,5.0,3.0,4.0,0,0,1,0
870,Mid-size,3.5,6,AS,X,9.4,5.0,3.0,4.0,0,0,1,0
871,Mid-size,2.5,4,AS,X,8.2,6.0,3.0,4.0,0,0,1,0
872,Mid-size,2.5,4,AS,X,8.4,6.0,3.0,4.0,0,0,1,0
873,Mid-size,2.5,4,AV,X,4.9,9.0,0.0,4.0,0,0,1,0
874,Mid-size,2.5,4,AV,X,5.1,9.0,0.0,4.0,0,0,1,0
875,Compact,1.8,4,AV,X,7.1,7.0,0.0,2.0,0,0,1,0
876,Compact,1.8,4,AV,X,7.3,7.0,0.0,2.0,0,0,1,0
877,Compact,1.8,4,M,X,7.1,7.0,2.0,2.0,0,0,1,0
878,Compact,2.0,4,AV,X,6.8,7.0,0.0,2.0,0,0,1,0
879,Compact,2.0,4,AV,X,7.0,7.0,0.0,2.0,0,0,1,0
880,Compact,2.0,4,M,X,7.4,7.0,2.0,2.0,0,0,1,0
881,Compact,2.0,4,AV,X,7.0,7.0,0.0,2.0,0,0,1,0
882,Compact,2.0,4,AV,X,6.8,7.0,0.0,2.0,0,0,1,0
883,Compact,2.0,4,M,X,7.6,7.0,2.0,2.0,0,0,1,0
884,Compact,1.8,4,AV,X,4.5,9.0,0.0,2.0,0,0,1,0
885,SUV: Small,2.0,4,AV,X,7.3,7.0,0.0,6.0,0,0,1,0
886,SUV: Small,2.0,4,AV,X,7.8,6.0,0.0,6.0,0,0,1,0
887,Minicompact,2.4,4,AS,Z,9.6,5.0,3.0,1.0,0,0,0,1
888,Minicompact,2.4,4,M,Z,10.5,5.0,2.0,1.0,0,0,0,1
889,Two-seater,2.0,4,AS,Z,8.4,6.0,3.0,0.0,0,0,0,1
890,Two-seater,3.0,6,AS,Z,9.4,5.0,3.0,0.0,0,0,0,1
891,SUV: Small,3.5,6,AS,X,10.3,5.0,3.0,6.0,0,0,1,0
892,SUV: Standard,2.5,4,AV,X,6.7,7.0,0.0,7.0,0,0,1,0
893,SUV: Standard,2.5,4,AV,X,6.7,7.0,0.0,7.0,0,0,1,0
894,Mid-size,1.8,4,AV,X,4.5,9.0,0.0,4.0,0,0,1,0
895,Mid-size,1.8,4,AV,X,4.8,9.0,0.0,4.0,0,0,1,0
896,SUV: Small,2.5,4,AS,X,7.9,6.0,3.0,6.0,0,0,1,0
897,SUV: Small,2.5,4,AS,X,7.7,7.0,3.0,6.0,0,0,1,0
898,SUV: Small,2.5,4,AS,X,8.4,6.0,3.0,6.0,0,0,1,0
899,SUV: Small,2.5,4,AS,X,8.0,6.0,3.0,6.0,0,0,1,0
900,SUV: Small,2.5,4,AS,X,7.9,6.0,3.0,6.0,0,0,1,0
901,SUV: Small,2.5,4,AS,X,8.5,6.0,3.0,6.0,0,0,1,0
902,SUV: Small,2.5,4,AV,X,6.0,8.0,0.0,6.0,0,0,1,0
903,SUV: Standard,5.7,8,AS,X,16.4,2.0,3.0,7.0,0,0,1,0
904,Minivan,2.5,4,AV,X,6.6,7.0,0.0,8.0,0,0,1,0
905,Minivan,2.5,4,AV,X,6.7,7.0,0.0,8.0,0,0,1,0
906,Pickup truck: Small,3.5,6,AS,X,11.8,4.0,3.0,11.0,0,0,1,0
907,Pickup truck: Small,3.5,6,M,X,12.7,3.0,2.0,11.0,0,0,1,0
908,Pickup truck: Small,3.5,6,M,X,12.9,3.0,2.0,11.0,0,0,1,0
909,Pickup truck: Standard,3.4,6,AS,X,11.8,4.0,3.0,13.0,0,0,1,0
910,Pickup truck: Standard,3.4,6,AS,X,12.2,4.0,3.0,13.0,0,0,1,0
911,Pickup truck: Standard,3.4,6,AS,X,12.2,4.0,3.0,13.0,0,0,1,0
912,Pickup truck: Standard,3.4,6,AS,X,11.7,4.0,3.0,13.0,0,0,1,0
913,Pickup truck: Standard,3.4,6,AS,X,11.9,4.0,3.0,13.0,0,0,1,0
914,SUV: Small,2.5,4,AV,X,6.1,8.0,0.0,6.0,0,0,1,0
915,SUV: Small,2.0,4,AS,X,10.6,5.0,3.0,6.0,0,0,1,0
916,SUV: Small,3.6,6,AS,X,12.2,4.0,3.0,6.0,0,0,1,0
917,SUV: Small,2.0,4,AS,X,10.7,5.0,3.0,6.0,0,0,1,0
918,SUV: Small,3.6,6,AS,X,11.7,4.0,3.0,6.0,0,0,1,0
919,Mid-size,2.0,4,AM,X,8.3,6.0,1.0,4.0,0,0,1,0
920,Mid-size,2.0,4,M,X,8.5,6.0,2.0,4.0,0,0,1,0
921,Mid-size,2.0,4,AM,Z,9.1,5.0,1.0,4.0,0,0,0,1
922,Mid-size,2.0,4,M,Z,10.2,5.0,2.0,4.0,0,0,0,1
923,Compact,1.5,4,AS,X,6.8,7.0,3.0,2.0,0,0,1,0
924,Compact,1.5,4,AS,X,7.1,7.0,3.0,2.0,0,0,1,0
925,Compact,1.5,4,M,X,6.9,7.0,2.0,2.0,0,0,1,0
926,Compact,2.0,4,AM,X,7.9,6.0,1.0,2.0,0,0,1,0
927,Compact,2.0,4,M,X,7.9,6.0,2.0,2.0,0,0,1,0
928,Mid-size,2.0,4,AS,X,8.3,6.0,3.0,4.0,0,0,1,0
929,SUV: Small,1.5,4,A,X,7.6,7.0,4.0,6.0,0,0,1,0
930,SUV: Small,1.5,4,A,X,8.5,6.0,4.0,6.0,0,0,1,0
931,SUV: Small,2.0,4,AS,X,9.4,5.0,3.0,6.0,0,0,1,0
932,SUV: Small,2.0,4,AS,X,9.8,5.0,3.0,6.0,0,0,1,0
933,Compact,2.0,4,AS,Z,8.0,6.0,3.0,2.0,0,0,0,1
934,Compact,2.0,4,AS,Z,8.3,6.0,3.0,2.0,0,0,0,1
935,Mid-size,2.0,4,AS,Z,9.1,5.0,3.0,4.0,0,0,0,1
936,Station wagon: Small,2.0,4,AS,Z,9.6,5.0,3.0,9.0,0,0,0,1
937,Station wagon: Small,2.0,4,AS,Z,9.5,5.0,3.0,9.0,0,0,0,1
938,Station wagon: Mid-size,2.0,4,AS,Z,9.5,5.0,3.0,10.0,0,0,0,1
939,SUV: Small,2.0,4,AS,X,9.3,5.0,3.0,6.0,0,0,1,0
940,SUV: Small,2.0,4,AS,Z,9.4,5.0,3.0,6.0,0,0,0,1
941,SUV: Small,2.0,4,AS,Z,9.4,5.0,3.0,6.0,0,0,0,1
942,SUV: Small,2.0,4,AS,Z,9.9,5.0,3.0,6.0,0,0,0,1
943,SUV: Standard,2.0,4,AS,Z,10.1,5.0,3.0,7.0,0,0,0,1
944,SUV: Standard,2.0,4,AS,Z,10.8,5.0,3.0,7.0,0,0,0,1
